time,output,error
2023-01-11 09:59:29.673495,CAMBIO_2023-01-11-09-59-29-673495.csv,no errors
2023-01-11 10:00:27.319915,INFLACAO_2023-01-11-10-00-27-319915.csv,no errors
2023-01-11 10:01:52.707758,JUROS_2023-01-11-10-01-52-707758.csv,no errors
2023-01-11 10:03:10.248666,CAMBIO_2023-01-11-10-03-10-248666.csv,no errors
2023-01-11 10:04:19.390675,INFLACAO_2023-01-11-10-04-19-390675.csv,no errors
2023-01-11 10:05:44.421671,JUROS_2023-01-11-10-05-44-421671.csv,no errors
2023-01-11 10:07:00.479114,CAMBIO_2023-01-11-10-07-00-479114.csv,no errors
2023-01-11 10:08:09.073731,INFLACAO_2023-01-11-10-08-09-073731.csv,no errors
2023-01-11 10:09:44.368866,JUROS_2023-01-11-10-09-44-368866.csv,no errors
2023-01-11 10:11:04.592617,CAMBIO_2023-01-11-10-11-04-592617.csv,no errors
2023-01-11 10:12:02.963056,INFLACAO_2023-01-11-10-12-02-963056.csv,no errors
2023-01-11 10:13:57.791340,JUROS_2023-01-11-10-13-57-791340.csv,no errors
2023-01-11 10:15:28.270403,CAMBIO_2023-01-11-10-15-28-270403.csv,no errors
2023-01-11 10:16:38.388277,INFLACAO_2023-01-11-10-16-38-388277.csv,no errors
2023-01-11 10:18:33.589245,JUROS_2023-01-11-10-18-33-589245.csv,no errors
2023-01-11 10:20:38.132105,CAMBIO_2023-01-11-10-20-38-132105.csv,no errors
2023-01-11 10:22:00.594423,INFLACAO_2023-01-11-10-22-00-594423.csv,no errors
2023-01-11 10:23:58.383410,JUROS_2023-01-11-10-23-58-383410.csv,no errors
2023-01-11 10:25:33.532148,CAMBIO_2023-01-11-10-25-33-532148.csv,no errors
2023-01-11 10:26:01.605512,erro,"DatalakeIncompleteTransferException('One more more exceptions occured during transfer, resulting in an incomplete transfer. \n\n List of exceptions and errors:\n log_1_2023.csv -> DataLakeRiscoECompliance\\LOG\\log_1_2023.csv, chunk DataLakeRiscoECompliance\\LOG\\log_1_2023.csv 0: errored, ""FileNotFoundError(\'DataLakeRiscoECompliance/LOG/log_1_2023.csv\')""')"
2023-01-11 10:27:07.059107,INFLACAO_2023-01-11-10-27-07-059107.csv,no errors
2023-01-11 10:28:31.679371,JUROS_2023-01-11-10-28-31-679371.csv,no errors
2023-01-11 10:29:50.664698,CAMBIO_2023-01-11-10-29-50-664698.csv,no errors
2023-01-11 10:30:48.922922,INFLACAO_2023-01-11-10-30-48-922922.csv,no errors
2023-01-11 10:32:13.906838,JUROS_2023-01-11-10-32-13-906838.csv,no errors
2023-01-11 10:33:29.702700,CAMBIO_2023-01-11-10-33-29-702700.csv,no errors
2023-01-11 10:34:26.977994,INFLACAO_2023-01-11-10-34-26-977994.csv,no errors
2023-01-11 10:36:00.978451,JUROS_2023-01-11-10-36-00-978451.csv,no errors
2023-01-11 10:37:24.903985,CAMBIO_2023-01-11-10-37-24-903985.csv,no errors
2023-01-11 10:38:21.090765,INFLACAO_2023-01-11-10-38-21-090765.csv,no errors
2023-01-11 10:39:55.347811,JUROS_2023-01-11-10-39-55-347811.csv,no errors
2023-01-11 13:13:34.904501,erro,"TypeError(""'NoneType' object is not iterable"")"
2023-01-11 13:13:43.870297,erro,"TypeError(""'NoneType' object is not iterable"")"
2023-01-11 13:13:45.666515,erro,"TypeError(""'NoneType' object is not iterable"")"
2023-01-11 14:03:48.747622,INFLACAO_2023-01-11-14-03-48-747622.csv,no errors
2023-01-11 14:26:33.199021,INFLACAO_2023-01-11-14-26-33-199021.csv,no errors
2023-01-11 14:28:00.515075,JUROS_2023-01-11-14-28-00-515075.csv,no errors
2023-01-11 14:28:03.789601,erro,TimeoutError('Erro de conexão com o Banco Central')
2023-01-11 14:31:24.559487,INFLACAO_2023-01-11-14-31-24-559487.csv,no errors
2023-01-11 14:32:55.174523,JUROS_2023-01-11-14-32-55-174523.csv,no errors
2023-01-11 14:34:19.997639,CAMBIO_2023-01-11-14-34-19-997639.csv,no errors
2023-01-12 09:56:05.607323,INFLACAO_2023-01-12-09-56-05-607323.csv,no errors
2023-01-12 09:57:41.330012,JUROS_2023-01-12-09-57-41-330012.csv,no errors
2023-01-12 10:00:36.121536,CAMBIO_2023-01-12-10-00-36-121536.csv,no errors
2023-01-12 10:02:31.621274,INFLACAO_2023-01-12-10-02-31-621274.csv,no errors
2023-01-12 10:04:25.324200,JUROS_2023-01-12-10-04-25-324200.csv,no errors
2023-01-12 10:06:14.602921,CAMBIO_2023-01-12-10-06-14-602921.csv,no errors
2023-01-12 11:30:33.796076,CAMBIO_2023-01-12-11-30-33-796076.csv,no errors
2023-01-12 13:08:26.007654,CAMBIO_2023-01-12-13-08-26-007654.csv,no errors
